Date,Total Consumption [MWh],Average Consumption [MW],Storage Cycle [MWh]
2015-11-10,1517641.25,63235.05,102545.27
2015-11-11,1507620.0,62817.5,97741.75
2015-11-12,1508853.0,62868.88,96035.75
2015-11-13,1512469.0,63019.54,99872.67
2015-11-14,1313520.5,54730.02,53056.71
2015-11-15,1206380.25,50265.84,63559.94
2015-11-16,1483612.75,61817.2,120117.98
2015-11-17,1535712.5,63988.02,107484.71
2015-11-18,1539131.0,64130.46,92826.33
2015-11-19,1562132.75,65088.86,102772.4
2015-11-20,1524437.75,63518.24,97646.9
2015-11-21,1323553.5,55148.06,58910.63
2015-11-22,1229153.25,51214.72,59509.94
2015-11-23,1529175.0,63715.63,117395.13
2015-11-24,1611740.25,67155.84,98579.94
2015-11-25,1602725.0,66780.21,96647.83
2015-11-26,1579605.0,65816.88,94927.75
2015-11-27,1556259.0,64844.13,86814.0
2015-11-28,1369906.5,57079.44,50302.63
2015-11-29,1271219.25,52967.47,64015.69
2015-11-30,1549843.5,64576.81,120612.81
2015-12-01,1575735.0,65655.63,99287.75
2015-12-02,1564260.25,65177.51,98920.1
2015-12-03,1546723.5,64446.81,95035.38
2015-12-04,1547476.25,64478.18,89839.52
2015-12-05,1335180.75,55632.53,55257.81
2015-12-06,1230368.5,51265.35,57759.79
2015-12-07,1498502.25,62437.59,121557.09
2015-12-08,1559097.25,64962.39,97098.1
2015-12-09,1560596.75,65024.86,97513.15
2015-12-10,1580913.5,65871.4,96940.46
2015-12-11,1577910.25,65746.26,92418.11
2015-12-12,1331011.75,55458.82,53125.73
2015-12-13,1222703.5,50945.98,61697.04
2015-12-14,1519767.0,63323.63,115307.88
2015-12-15,1546818.5,64450.77,96516.96
2015-12-16,1547321.5,64471.73,102249.04
2015-12-17,1493422.0,62225.92,97255.17
2015-12-18,1456201.25,60675.05,91095.02
2015-12-19,1257629.75,52401.24,59075.16
2015-12-20,1164189.25,48507.89,61954.6
2015-12-21,1379550.25,57481.26,109961.34
2015-12-22,1374505.25,57271.05,89119.52
2015-12-23,1320663.75,55027.66,80063.31
2015-12-24,1127919.75,46996.66,56418.56
2015-12-25,1036439.5,43184.98,53462.29
2015-12-26,1040628.5,43359.52,53707.96
2015-12-27,1065922.0,44413.42,56805.92
2015-12-28,1203277.75,50136.57,82727.48
2015-12-29,1225382.5,51057.6,67699.94
2015-12-30,1226882.75,51120.11,76085.65
2015-12-31,1172208.75,48842.03,52031.84
2016-01-01,1057800.25,44075.01,49713.36
2016-01-02,1184757.75,49364.91,85272.72
2016-01-03,1177991.25,49082.97,61170.16
2016-01-04,1431355.5,59639.81,106343.56
2016-01-05,1496785.75,62366.07,87594.48
2016-01-06,1447247.75,60301.99,72410.4
2016-01-07,1534214.75,63925.61,99385.65
2016-01-08,1524731.75,63530.49,82422.4
2016-01-09,1308743.0,54530.96,51307.79
2016-01-10,1218672.5,50778.02,59454.96
2016-01-11,1531668.75,63819.53,129625.28
2016-01-12,1570020.5,65417.52,99983.21
2016-01-13,1584311.0,66012.96,99311.58
2016-01-14,1570372.0,65432.17,91876.17
2016-01-15,1576220.75,65675.86,91751.15
2016-01-16,1362047.5,56751.98,53300.77
2016-01-17,1261402.0,52558.42,57573.33
2016-01-18,1585468.75,66061.2,109725.78
2016-01-19,1646078.0,68586.58,84615.58
2016-01-20,1638197.75,68258.24,84780.9
2016-01-21,1624992.0,67708.0,87557.25
2016-01-22,1620082.75,67503.45,77937.23
2016-01-23,1405080.25,58545.01,49870.36
2016-01-24,1256628.5,52359.52,56500.21
2016-01-25,1517970.75,63248.78,107657.03
2016-01-26,1558851.0,64952.13,88296.5
2016-01-27,1572237.5,65509.9,93486.96
2016-01-28,1551836.0,64659.83,93388.83
2016-01-29,1538357.5,64098.23,87972.04
2016-01-30,1356156.0,56506.5,56134.75
2016-01-31,1232035.0,51334.79,54829.92
2016-02-01,1522996.5,63458.19,127615.44
2016-02-02,1575396.0,65641.5,100442.25
2016-02-03,1573825.25,65576.05,93516.02
2016-02-04,1574843.25,65618.47,92577.94
2016-02-05,1536654.75,64027.28,87972.56
2016-02-06,1311652.5,54652.19,47493.88
2016-02-07,1203819.0,50159.13,55259.5
2016-02-08,1492149.75,62172.91,109477.41
2016-02-09,1553033.25,64709.72,86444.69
2016-02-10,1573786.75,65574.45,92391.98
2016-02-11,1550518.25,64604.93,84182.02
2016-02-12,1529953.5,63748.06,81376.63
2016-02-13,1343401.25,55975.05,48059.02
2016-02-14,1231298.0,51304.08,59099.83
2016-02-15,1541550.0,64231.25,117679.0
2016-02-16,1581446.5,65893.6,86843.94
2016-02-17,1599022.0,66625.92,87306.42
2016-02-18,1562479.25,65103.3,84047.52
2016-02-19,1558206.75,64925.28,85900.56
2016-02-20,1398107.0,58254.46,54481.04
